blocktime,slot,signature,signer,token_in_name,token_in_amt,token_out_name,token_out_amt,action,auth_acc,obligation_acc,market
1642166640,116217695,4x8kbXHcLcAe7Vt9NXnFrXbeG7vGHupYzJNyktDCvyzZ8uiSiGkQaKL2MjSu9mjxd6Wu9rCcKcWVLxbQYqNTGpuD,E6o3NfR3H7dgFnNab5dcUzuNeDpwT3Eh3G8JFTqEavNB,SBR,164.95210699999998,,,WithdrawObligationCollateralAndRedeemReserveCollateral,E6o3NfR3H7dgFnNab5dcUzuNeDpwT3Eh3G8JFTqEavNB,8LMUEyBBpthDzTskxdQn5VqC11HWfg5QK1rvSWjFnkBL,main
1642166640,116217695,5dSZYPoqvwmGaViDnrgzxrTYqb5925ZMhCFWhzPbxuMyM61WbzHFEeRCKnQhruRDv1C55AjRU7HbncKYtDi8KDTH,BKizvx3rNZwCHpUzahxNcJ4EcHXCzBEaWcNMpLDWp3TB,,,SOL,-325.00201364000003,RepayObligationLiquidity,BKizvx3rNZwCHpUzahxNcJ4EcHXCzBEaWcNMpLDWp3TB,DmMF6rByaYWGYKX5cCf3vE3Lkj8BrU4wcMYoTYBoGtNo,main
1642132133,116159067,dt7VNMPRX6qugN5gVhjMD6zFiunDRqF3Ujoc4HnceDYMjerVFNgbGb4GMEkh4nwZFoDaG9ctvB6u7GPYzMkVxgX,36aqcpi8FbkNEP5qMpjALHsdC4UpEwdF7D7Uxp2WZxKX,,,USDC,-3013.100368,RepayObligationLiquidity,36aqcpi8FbkNEP5qMpjALHsdC4UpEwdF7D7Uxp2WZxKX,4kdk9tvpRmxmLGeB1wZN6rjpxBFGKjELm7oYVKc1PuEQ,main
1642169184,116221969,56kPEWUCwtHfzXdfoHTJgmtE1Yrv4Xtz5bnMr4S6LsYfPWd5zSgtn87y9vFAZtNS7fhqyeJzc5ZPmcYm7Sxo2eYX,88LjsQzU7UroRVPFB8HB56b5VNxRko82d2aFZi77joUZ,,,USDC,-122.0,DepositReserveLiquidityAndObligationCollateral,88LjsQzU7UroRVPFB8HB56b5VNxRko82d2aFZi77joUZ,4xAiVDWUVfv1HexRCx9P3vdDzri5MbJFRCKZLo5QhRtF,main
1642152405,116193923,ZcwyD6gwz81jLUwbiTGdUL2tRmjerS8dSoSxrQc33y2iMRJ4BisSEMPNTrmokFopKK7hLeBPTSrUyCSViBQVwzz,CP9kjqwfxENJV1j7iNz842AfUFVEidKopSE3sCCy66mu,USDC,264.441864,,,WithdrawObligationCollateralAndRedeemReserveCollateral,CP9kjqwfxENJV1j7iNz842AfUFVEidKopSE3sCCy66mu,7dVrYhFAQD7dLbNs3aLxBHKXJHDXC4zbBWaavELduxXx,main
1642141800,116175801,2e1Uxy1pjpaQ71xp3pMT5YxVLjQYNKAjAnZWLiEZLgViRN6TTkmhZydheW9MEHk7Z3Hp82rW9ho8cHNS3v5gBbx9,26r5hHMvKfcqvUGZNJAChWEDdK6epryyXYZUdCzjWyXn,,,SOL,-0.1,DepositReserveLiquidityAndObligationCollateral,26r5hHMvKfcqvUGZNJAChWEDdK6epryyXYZUdCzjWyXn,5vQU52ofiqSMu2wGqMsuejVu3GZDMKo2QA14ALwos6QZ,main
1642204259,116279297,5AdCrFEb5aYZRFAnzYJNv9REEVzQ44XCXb4Wg6QDY6jPX1ziv8uhMyNaXDuWAf3wGJ46uvDTpuH5VYFUpnmMaBc7,2PthK98w4YDfUUJUMC2j6QFBo9txdE4wbJqH3ctbA3EE,,,USDC,-1389.374028,RepayObligationLiquidity,2PthK98w4YDfUUJUMC2j6QFBo9txdE4wbJqH3ctbA3EE,8TskYjok8mB9TuM9fVChn9YK4Nhwa29JXVSygneEHNgk,main
1642153977,116196677,5MaGsuih2pqD9L2dMZ379UmYVSsNDV6mKsM3jsoutVcqW6HAJ8DQiteV9jHHDgGGXJM4RYKxfooTW9D3zgyQnhCk,137ws2LU5hsSrPRLwPpmnt98Jc18FSvAWbFQiwukYaGg,USDC,246.97188599999998,,,BorrowObligationLiquidity,,Q8tYSxk8TGyq3UWXxSR6pbfn46dHZnNiWmMkB7fMsCo,main
1642143602,116178850,2EXdYTPNwEbrgxgZzAaE9jApkBu5GTwATqJfGDSqsmQMm5Ax31eB5uPoRaFvU4tgNXY5gsy5Ez9m3szsaWARZcdJ,Cn639NdTrBeYkBHqS7X6ihWJizmqMwBKWiy3JPAgbS5q,,,,,InitObligation,,9BBDPuNZ5ENZ728iU8H19nitLSQzUCBaTPvkEp36n8mq,main
1642143602,116178850,2EXdYTPNwEbrgxgZzAaE9jApkBu5GTwATqJfGDSqsmQMm5Ax31eB5uPoRaFvU4tgNXY5gsy5Ez9m3szsaWARZcdJ,Cn639NdTrBeYkBHqS7X6ihWJizmqMwBKWiy3JPAgbS5q,,,SOL,-1.0,DepositReserveLiquidityAndObligationCollateral,Cn639NdTrBeYkBHqS7X6ihWJizmqMwBKWiy3JPAgbS5q,9BBDPuNZ5ENZ728iU8H19nitLSQzUCBaTPvkEp36n8mq,main
1642140338,116173357,2n4pt8ZsX7VCsZScjW9boR14Xx61bRC7Y9XUhHzmnfnqteZN1HECLGAn7cAecBAa7tETSLtnzZCPn4TD9yeLqa7v,5fAMqkBNEaqLpZK8Vy63yS4QpiYA943pDMVsAQvA6VGa,cRAY,0.001254,soFTT,-0.00016999999999999999,LiquidateObligation,5fAMqkBNEaqLpZK8Vy63yS4QpiYA943pDMVsAQvA6VGa,Bbj6daECaSZvAkAhjZSRoS1bTTj7p29H2TyT4NySVLno,main
1642176745,116234011,5HeuN1U553BcDXr7YXXsMY8YUX4tSPj8B6E32fLAJiXSm97GyTkwwZiv39DanVRvH6Hq4YGKfSeoPZNGYxkHN8ot,8e2AuPCRMv4aUPrcxDZZqJngaNy2dJPVhKQLuMj9VpnA,,,USDC,-50070.994838,RepayObligationLiquidity,8e2AuPCRMv4aUPrcxDZZqJngaNy2dJPVhKQLuMj9VpnA,CnD9Yq2oaWvVsUFnioREte3q2jzLdBrg3hU6yfqmBEAr,main
1642200775,116273129,29i9ZhP2agdjJ6vX2Ln5qnEf1pePafW69cLWxc9sg1G7tTcGbrPfBL1ucJ7MzUruhnMXwUcRzNeo5bWMzZL2JMmg,26r5hHMvKfcqvUGZNJAChWEDdK6epryyXYZUdCzjWyXn,,,SOL,-0.1,DepositReserveLiquidityAndObligationCollateral,26r5hHMvKfcqvUGZNJAChWEDdK6epryyXYZUdCzjWyXn,5vQU52ofiqSMu2wGqMsuejVu3GZDMKo2QA14ALwos6QZ,main
1642193112,116260885,gSjeu1FWhSBaSssocQkcGshnwpr3HF9hGL6hjWkR8ND6ukbcRUG8x1UHjyyoNXMnKg2g1KqciWy7YDFdCqn921R,5kB1jGJwNMiDEbKrqr1T8Ao5RQiJwk2WsgRJe9iXZDTe,USDC,100.000002,,,WithdrawObligationCollateralAndRedeemReserveCollateral,5kB1jGJwNMiDEbKrqr1T8Ao5RQiJwk2WsgRJe9iXZDTe,57ZAjx8wTwMyFzXQJaWwLMcGLUogv6MjNgno9etUeyPB,main
