blocktime,slot,signature,signer,token_in_name,token_in_amt,token_out_name,token_out_amt,collat_change_token_name,collat_change_amt,action,auth_acc,obligation_acc,market
1636521955,106136062,51s8PKhrnFT6ZwLpHs4Nktj9i5m1dgUb8NvYzeGo4AwBqXbFz4X1bEjM6ctfXDPoEjMDrWook8Utc3pxSeVgRvPh,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.03737,cBTC,0.037252,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636572666,106231247,3dMwN5FjgtcmsBNAwndXZPCrhRop1oYjcckVDx9mdLuyAi3aD5K2Go2ZwYxGUeZNYkRvQfgjnuqGih4ugC6QS8wQ,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,41.418113999999996,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636572850,106231569,3sWy4mJf3LR3TCqYq3b9bPXuYoxWgfbDyQBo72u9NT9jPg4Zx649LnsYzF6sxmXsU1tAb6WJaVERPsKxc7s7LtB1,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.038206,cBTC,0.038083,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636573799,106233227,gjh14gFZBkdrqLX5pzfcu5FAypt7UpWzwqZL3c76jnnCQ5d2jadmVy2ekGYiatUDXr1vZggT5W6o6kuEycKDTJc,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,40.358765,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636590742,106263028,4v62SPz9F4eVsxPsNx4gL1XuqkrpksbWTsV11SGoSx6LSuvAbPggtSM7QnhSEU6wNoi3d8WUXZqeWpg4k9PLgQFK,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,59.703019999999995,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636594849,106270980,64Ha4yq7x11Q98PA33L5yWhgLmFX4NbWCPLiQMPXA6rDJXUZb96tg3ZHj8keimNnci8iWyFukkMa9XVnxvLumWF8,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,SOL,0.050000005,,,cSOL,-0.049882340000000004,WithdrawObligationCollateralAndRedeemReserveCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636594892,106271061,4b2t2aSMjgHcmAUgRN2EpPix8hQov48FcJApLhW19yioqucP7zzc44rGJckQA1a55kXZeMaJ3SdsxPM4pxGXheEW,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,56.651384,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636595055,106271372,352SgHjr7jLeZypS8gzgCSL7wVRrH4gfL5fcsQHNVuYmfvSTV7YKXybG7Pwtmw31TR1WYFqM8euCou6yJUzx1ZKh,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.051223,cBTC,0.051056,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636604593,106289830,g8Lj6cCHT6WZgjPprPhXL2xUJu5LsTfkYDHUgxYpkLsTErAge8AgxTvb5ksZY5uBmDFWT3mNT4rUcaNa4MSf9Cd,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,118.05490499999999,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636604788,106290223,2kuuMAtgVbWQzBgdtumWBctf7bzCPsMLYN91j7DPmcE3FthvYJvEqFrQchixUVAQUZpyPhVaTC5oFpH6JtBTgWk1,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.10782499999999999,cBTC,0.107473,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
